2024-10-12 09:55:47.135823|INFO    |PktHandler    |1  |Dropping client 1335 because of ping timeout 19 0 0
2024-10-12 19:39:13.680935|INFO    |PktHandler    |1  |Dropping client 1337 because of ping timeout 19 0 0
2024-10-16 09:37:21.663333|INFO    |PktHandler    |1  |Dropping client 1391 because of ping timeout 19 0 0
2024-10-16 12:03:41.407546|INFO    |PktHandler    |1  |Dropping client 1395 because of ping timeout 19 0 0
2024-10-16 14:21:38.737757|INFO    |PktHandler    |1  |Dropping client 1407 because of ping timeout 19 0 0
2024-10-16 15:33:23.400887|INFO    |PktHandler    |1  |Dropping client 1398 because of ping timeout 19 0 0
2024-10-18 18:04:39.431863|INFO    |PktHandler    |1  |Dropping client 1437 because of ping timeout 19 0 0
2024-10-20 10:58:49.211381|INFO    |PktHandler    |1  |Dropping client 1453 because of ping timeout 19 0 0
2024-10-22 09:23:24.074322|INFO    |PktHandler    |1  |Dropping client 1476 because of ping timeout 19 0 0
2024-10-22 09:44:08.461316|INFO    |PktHandler    |1  |Dropping client 1481 because of ping timeout 19 0 0
2024-10-22 11:39:16.297066|INFO    |PktHandler    |1  |Dropping client 1480 because of ping timeout 19 0 0
2024-10-23 15:53:54.368583|INFO    |PktHandler    |1  |Dropping client 1496 because of ping timeout 19 0 0
2024-10-26 22:57:00.533518|INFO    |PktHandler    |1  |Dropping client 1514 because of ping timeout 19 0 0
2024-10-27 07:16:01.384847|INFO    |PktHandler    |1  |Dropping client 1529 because of ping timeout 19 0 0
2024-10-27 13:02:46.633742|INFO    |PktHandler    |1  |Dropping client 1526 because of ping timeout 19 0 0
2024-10-27 13:11:08.639283|INFO    |PktHandler    |1  |Dropping client 1537 because of ping timeout 19 0 0
2024-10-30 14:22:57.440240|INFO    |PktHandler    |1  |Cleaning up connection because of 13 resends of COMMAND packet
2024-10-30 14:22:57.440240|INFO    |PktHandler    |1  |Dropping client 1561 because of resend timeout
2024-10-31 13:42:49.975663|INFO    |PktHandler    |1  |Dropping client 1581 because of ping timeout 19 0 0
2024-10-31 13:44:05.982556|INFO    |PktHandler    |1  |Dropping client 1582 because of ping timeout 19 0 0
2024-11-02 16:26:22.863889|INFO    |PktHandler    |1  |Dropping client 1609 because of ping timeout 19 0 0
2024-11-02 16:44:52.945090|INFO    |PktHandler    |1  |Dropping client 1610 because of ping timeout 19 0 0
2024-11-02 17:26:19.897910|INFO    |PktHandler    |1  |Dropping client 1611 because of ping timeout 19 0 0
2024-11-02 18:07:00.766755|INFO    |PktHandler    |1  |Dropping client 1612 because of ping timeout 19 0 0
2024-11-02 18:17:30.185110|INFO    |PktHandler    |1  |Dropping client 1613 because of ping timeout 19 0 0
2024-11-02 18:38:29.538178|INFO    |PktHandler    |1  |Dropping client 1614 because of ping timeout 19 0 0
2024-11-02 18:54:15.025391|INFO    |PktHandler    |1  |Dropping client 1615 because of ping timeout 19 0 0
2024-11-02 19:12:17.825588|INFO    |PktHandler    |1  |Dropping client 1616 because of ping timeout 19 0 0
2024-11-02 19:28:53.246699|INFO    |PktHandler    |1  |Dropping client 1617 because of ping timeout 19 0 0
2024-11-02 19:47:44.968540|INFO    |PktHandler    |1  |Dropping client 1618 because of ping timeout 19 0 0
2024-11-02 20:04:30.068814|INFO    |PktHandler    |1  |Dropping client 1619 because of ping timeout 19 0 0
2024-11-02 20:12:35.629248|INFO    |PktHandler    |1  |Dropping client 1620 because of ping timeout 19 0 0
2024-11-02 20:29:26.223167|INFO    |PktHandler    |1  |Dropping client 1621 because of ping timeout 19 0 0
2024-11-02 23:57:35.082942|INFO    |PktHandler    |1  |Dropping client 1622 because of ping timeout 19 0 0
2024-11-03 00:10:20.026651|INFO    |PktHandler    |1  |Dropping client 1623 because of ping timeout 19 0 0
2024-11-03 00:26:29.622674|INFO    |PktHandler    |1  |Dropping client 1624 because of ping timeout 19 0 0
2024-11-03 00:44:23.675587|INFO    |PktHandler    |1  |Dropping client 1625 because of ping timeout 19 0 0
2024-11-03 01:25:07.662321|INFO    |PktHandler    |1  |Dropping client 1626 because of ping timeout 19 0 0
2024-11-03 01:43:25.065778|INFO    |PktHandler    |1  |Dropping client 1627 because of ping timeout 19 0 0
2024-11-03 01:59:52.779464|INFO    |PktHandler    |1  |Dropping client 1628 because of ping timeout 19 0 0
2024-11-03 02:09:08.922503|INFO    |PktHandler    |1  |Dropping client 1630 because of ping timeout 19 0 0
2024-11-03 11:12:24.533694|INFO    |PktHandler    |1  |Dropping client 1638 because of ping timeout 19 0 0
2024-11-03 14:24:28.773720|INFO    |PktHandler    |1  |Dropping client 1637 because of ping timeout 19 0 0
2024-11-05 15:02:55.898741|INFO    |PktHandler    |1  |Dropping client 1667 because of ping timeout 19 0 0
2024-11-06 13:14:43.414759|INFO    |PktHandler    |1  |Cleaning up connection because of 15 resends of COMMAND packet
2024-11-06 13:14:43.414759|INFO    |PktHandler    |1  |Dropping client 1687 because of resend timeout
2024-11-07 11:35:09.122845|INFO    |PktHandler    |1  |Dropping client 1700 because of ping timeout 19 0 0
2024-11-08 00:33:51.246941|INFO    |PktHandler    |1  |Dropping client 1701 because of ping timeout 19 0 0
2024-11-08 01:01:07.361381|INFO    |PktHandler    |1  |Dropping client 1708 because of ping timeout 19 0 0
2024-11-08 01:47:02.569446|INFO    |PktHandler    |1  |Dropping client 1709 because of ping timeout 19 0 0
2024-11-08 01:51:09.207275|INFO    |PktHandler    |1  |Dropping client 1710 because of ping timeout 19 0 0
2024-11-08 02:13:34.903464|INFO    |PktHandler    |1  |Dropping client 1711 because of ping timeout 19 0 0
2024-11-08 04:26:26.965219|INFO    |PktHandler    |1  |Dropping client 1712 because of ping timeout 19 0 0
2024-11-08 04:45:41.380850|INFO    |PktHandler    |1  |Dropping client 1713 because of ping timeout 19 0 0
2024-11-08 05:03:23.150973|INFO    |PktHandler    |1  |Dropping client 1714 because of ping timeout 19 0 0
2024-11-08 05:23:03.706031|INFO    |PktHandler    |1  |Dropping client 1715 because of ping timeout 19 0 0
2024-11-08 05:39:05.497512|INFO    |PktHandler    |1  |Dropping client 1716 because of ping timeout 19 0 0
